produtos,categoria,tipo,loja,local,selo,imagem
51 GOLD,Bebidas alcoólicas,Parve,Super do povo,Passaré,BDK,https://www.bdk.com.br/anexos/produtos/2867/reais/produto_thumb.jpg
teste,Bebidas alcoólicas,Parve,Super do povo,Passaré,BDK,https://www.bdk.com.br/anexos/produtos/2867/reais/produto_thumb.jpg
